,ao_hechos,delito,categoria_delito,longitud,latitud
1059231,2021,VIOLACION,VIOLACIÓN,-99.2270453299559,19.2729417565743
1059270,2021,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN,-99.0855860697157,19.194648453007698
1059291,2021,VIOLACION,VIOLACIÓN,-99.0954534704109,19.2381473674988
1059935,2021,VIOLACION,VIOLACIÓN,-99.10121978974631,19.3376860368227
1060483,2021,VIOLACION,VIOLACIÓN,-99.03551145012541,19.3443052169541
1060805,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2177317999744,19.4533562292613
1060956,2021,VIOLACION,VIOLACIÓN,-99.1498667403637,19.280374633877802
1061185,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2434246496541,19.3185859874016
1061470,2021,VIOLACION,VIOLACIÓN,-99.0102890899489,19.3648851106069
1061530,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.24733222023322,19.3229192069897
1061769,2021,VIOLACION TUMULTUARIA,VIOLACIÓN,-99.3338379297436,19.314715696972
1062030,2021,VIOLACION,VIOLACIÓN,-99.0997683401711,19.4916640037838
1062242,2021,VIOLACION EQUIPARADA Y ROBO DE VEHICULO,VIOLACIÓN,-99.10020701987591,19.392594869006103
1062308,2021,VIOLACION,VIOLACIÓN,-99.043393130449,19.3401825434547
1062432,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.17756460962099,19.395649855989802
1062496,2021,VIOLACION,VIOLACIÓN,-99.21990259981929,19.4500172519266
1062540,2021,VIOLACION,VIOLACIÓN,-99.1356698398198,19.3770786872706
1062552,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0497526304258,19.3077572575726
1063058,2021,VIOLACION,VIOLACIÓN,-99.13985251974009,19.441703915557397
1063190,2021,VIOLACION,VIOLACIÓN,-99.0657967302722,19.1900142490235
1063296,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1040284902233,19.4287432480653
